('L.', 'AS.', 'OF.')
('AS.', 'F.', 'OE.')
('NL.', 'L.', 'AS.')
('OE.', 'L.', 'L.')
('OE.', 'OF.', 'OE.')
('OE.', 'OF.', 'AS.')
('AS.', 'F.', 'F.')
('AS.', 'L.', 'OF.')
('OE.', 'F.', 'OF.')
('L.', 'OE.', 'L.')
('OE.', 'AS.', 'L.')
('L.', 'NL.', 'OE.')
('OE.', 'OE.', 'F.')
('L.', 'OF.', 'AS.')
('OE.', 'AS.', 'F.')
('AS.', 'OE.', 'OF.')
('OE.', 'OE.', 'AS.')
('OE.', 'AS.', 'AS.')
('F.', 'OE.', 'AS.')
('AS.', 'NL.', 'AS.')
('F.', 'OE.', 'OE.')
('OF.', 'AS.', 'F.')
('F.', 'OF.', 'L.')
('F.', 'F.', 'AS.')
('F.', 'OE.', 'L.')
('OF.', 'L.', 'OE.')
('OF.', 'AS.', 'AS.')
('L.', 'F.', 'AS.')
('AS.', 'NL.', 'L.')
('OF.', 'AS.', 'OE.')
('L.', 'OE.', 'OE.')
('NL.', 'AS.', 'OE.')
('F.', 'L.', 'L.')
('L.', 'OF.', 'OE.')
('L.', 'F.', 'F.')
('NL.', 'OE.', 'OE.')
('AS.', 'F.', 'L.')
('OE.', 'AS.', 'OE.')
('OE.', 'L.', 'OE.')
('OE.', 'L.', 'AS.')
('OE.', 'L.', 'F.')
('AS.', 'OE.', 'OE.')
('AS.', 'OF.', 'AS.')
('AS.', 'OE.', 'AS.')
('AS.', 'OF.', 'OE.')
('AS.', 'AS.', 'NL.')
('L.', 'F.', 'OE.')
('OE.', 'F.', 'F.')
('OF.', 'OE.', 'L.')
('OE.', 'OF.', 'L.')
('L.', 'OE.', 'AS.')
('F.', 'AS.', 'NL.')
('NL.', 'AS.', 'AS.')
('L.', 'AS.', 'AS.')
('OE.', 'F.', 'OE.')
('OE.', 'F.', 'AS.')
('OE.', 'OE.', 'L.')
('AS.', 'OE.', 'F.')
('F.', 'L.', 'AS.')
('L.', 'OE.', 'F.')
('L.', 'L.', 'OF.')
('L.', 'AS.', 'L.')
('L.', 'AS.', 'F.')
('F.', 'OE.', 'OF.')
('AS.', 'L.', 'F.')
('AS.', 'AS.', 'OF.')
('L.', 'L.', 'OE.')
('AS.', 'AS.', 'L.')
('F.', 'AS.', 'OE.')
('F.', 'AS.', 'AS.')
('OE.', 'OE.', 'OF.')
('F.', 'AS.', 'F.')
('AS.', 'AS.', 'AS.')
('L.', 'OE.', 'OF.')
('OF.', 'OE.', 'F.')
('AS.', 'AS.', 'OE.')
('AS.', 'L.', 'AS.')
('OF.', 'L.', 'AS.')
('AS.', 'L.', 'OE.')
('F.', 'AS.', 'L.')
('OF.', 'OE.', 'OE.')
('L.', 'AS.', 'OE.')
('OF.', 'OE.', 'AS.')
('L.', 'L.', 'F.')
('AS.', 'L.', 'L.')
('L.', 'AS.', 'NL.')
('AS.', 'AS.', 'F.')
('F.', 'F.', 'OE.')
('L.', 'F.', 'L.')
('L.', 'L.', 'AS.')
('F.', 'AS.', 'OF.')
('F.', 'L.', 'F.')
('AS.', 'OE.', 'L.')
('L.', 'L.', 'L.')
('OE.', 'OE.', 'OE.')
('OE.', 'L.', 'OF.')
('AS.', 'OF.', 'L.')
('AS.', 'L.', 'NL.')
('OE.', 'F.', 'L.')
('OE.', 'AS.', 'OF.')
('F.', 'L.', 'OE.')
('AS.', 'F.', 'AS.')
('OF.', 'F.', 'L.')
('NL.', 'L.', 'OE.')
('F.', 'L.', 'NL.')
('L.', 'NL.', 'L.')
('OE.', 'OF.', 'F.')
('OF.', 'OF.', 'AS.')
('F.', 'F.', 'F.')
('L.', 'OF.', 'OF.')
('L.', 'OF.', 'L.')
('OF.', 'OF.', 'OF.')
('OF.', 'L.', 'L.')
('OF.', 'F.', 'OE.')
('AS.', 'NL.', 'OE.')
('OE.', 'L.', 'NL.')
('F.', 'OF.', 'OE.')
('OF.', 'L.', 'OF.')
('L.', 'OF.', 'F.')
('F.', 'OE.', 'F.')
('L.', 'NL.', 'AS.')
('F.', 'F.', 'L.')
('OF.', 'AS.', 'L.')
('OF.', 'L.', 'F.')
('OF.', 'F.', 'AS.')
('AS.', 'OF.', 'F.')
('NL.', 'L.', 'L.')
('OF.', 'AS.', 'NL.')
